acc.date,aircraft_type,operator,fatalities,damage
2022-06-07,Shorts SC.7 Skyvan 3-200,Alaskan Air Charter,0,sub
2022-06-07,Bombardier BD-100-1A10 Challenger 300,Pacific Dental Services,0,min
2022-06-10,Airbus A319,,0,non
2022-06-13,Cessna 550 Citation II,Northern Meridian LLC,0,sub
2022-06-15,Beechcraft B200 Super King Air,ASL - Air Service Liege,0,sub
2022-06-16,Boeing 737-3M8 (QC),Gomair,0,sub
2022-06-17,Boeing 777-228ER,Air France,0,min
2022-06-17,Airbus A330-202,ITA Airways,0,min
2022-06-21,McDonnell Douglas MD-82,RED Air,0,w/o
2022-06-21,Antonov An-2R,Techservice,2,w/o
2022-06-22,Learjet 55C,private,6,w/o
2022-06-22,Antonov An-30M,NPP Mir,0,sub
2022-06-24,Fokker F-27 Friendship 500,Icon Aviation,0,unk
2022-06-24,Ilyushin Il-76MD,Russian Air Force,5,w/o
2022-06-25,de Havilland Canada DHC-8-402Q Dash 8,"All Nippon Airways - ANA, opb ANA Wings",0,non
2022-06-26,Cessna 208 Supervan 900,Alaska Seaplanes,0,sub
,Antonov An-2R,Voskhod LLC,0,sub
2022-07-01,Antonov An-12BK,Motor Sich,0,sub
2022-07-01,Boeing 737-7H4 (WL),Southwest Airlines,0,non
2022-07-01,Learjet 35A,Flying America SA,4,w/o
2022-07-13,Gulfstream G450,Alpha Star Aviation Services,0,sub
2022-07-13,Cessna 208B Super Cargomaster,Corporate Air,0,sub
2022-07-15,Raytheon Beechjet 400A,"Aircraft Management Group, Inc",0,sub
2022-07-15,Antonov An-2R,private,2,sub
2022-07-16,Boeing 737-81D (WL),Solaseed Air,0,non
2022-07-16,Fokker 50,Icon Aviation,0,sub
2022-07-16,Antonov An-12BK,Meridian,8,w/o
2022-07-18,Fokker 50,Jubba Airways,0,w/o
2022-07-20,Airbus A321-271NX,Wizz Air,0,non
2022-07-21,Cessna 680 Citation Sovereign,Anderson Air,0,sub
2022-07-22,Antonov An-2,Crop Protection Company,0,sub
2022-07-24,Boeing 717-2BD,Delta Air Lines,0,sub
2022-07-25,Airbus A320-214,Avianca,0,non
2022-07-27,Bombardier BD-100-1A10 Challenger 300,VistaJet,0,non
